Date,7d Positive Rate,7d Wander Rate,7d Density,7d Tests,7d Positive Tests,Daily Positive Rate,Hospital Cases,ICU Cases,Annotations,(Blank),New Tests,Positive Tests,New Deaths
2020-06-28,0.145273851590106,65.78770633955637,9.920476486639755,6468.571428571428,939.7142857142857,0.17734159779614325,444.85714285714283,165.28571428571428,,-,2904,515,3
2020-06-27,0.1433907916647914,65.78587345328775,9.91907189649091,6348.285714285715,910.2857142857143,0.16705716963448922,427.14285714285717,160.57142857142858,,-,4268,713,0
2020-06-26,0.1408698031882141,66.23229798821963,10.355399201552812,6264.142857142857,882.4285714285714,0.13940329218106995,408.7142857142857,156.57142857142858,,-,7776,1084,17
2020-06-25,0.1373621215677071,66.38477737073801,10.555661722265738,6087.142857142857,836.1428571428571,0.1453583061889251,391.14285714285717,150.71428571428572,,-,7368,1071,7
2020-06-24,0.13261046874250348,66.34109231717242,10.452683086616313,5955.142857142857,789.7142857142857,0.13787335722819594,374.57142857142856,147.14285714285714,,-,8370,1154,26
2020-06-23,0.12611474622944194,66.14985607617864,10.455627797542395,5654.714285714285,713.1428571428571,0.14486043127397805,362.2857142857143,145.42857142857142,,-,7559,1095,4
2020-06-22,0.11765922784515528,65.73666380505422,10.428216111900753,5524.428571428572,650.0,0.13447050461975835,356.2857142857143,145.0,,-,7035,946,0
2020-06-21,0.10866976945556879,65.47832341716428,10.484000518549035,5279.428571428572,573.7142857142857,0.1498545101842871,352.0,143.0,,-,2062,309,2
2020-06-20,0.1057697566311184,65.6589468932171,10.765305426656992,5224.285714285715,552.5714285714286,0.1407991301984235,346.2857142857143,143.14285714285714,,-,3679,518,10
2020-06-19,0.10132605084602607,65.11678196282476,10.63289200271294,5074.142857142857,514.1428571428571,0.11626128193360868,342.42857142857144,144.28571428571428,,-,6537,760,7
2020-06-18,0.09432506232933634,64.52658257981862,10.468301143394154,4813.142857142857,454.0,0.11576660459342024,337.7142857142857,146.0,CA mandates masks,-,6444,746,7
2020-06-17,0.08659984579799537,64.07003281048692,10.596727502670083,4632.142857142857,401.14285714285717,0.09861177596936334,336.2857142857143,148.14285714285714,,-,6267,618,10
2020-06-16,0.07882471499653587,63.67316190124439,10.578889207779769,4536.285714285715,357.57142857142856,0.09823980743192418,330.7142857142857,147.28571428571428,,-,6647,653,12
2020-06-15,0.06958535869246077,63.340401905673374,10.6098961513638,4379.0,304.7142857142857,0.0774436090225564,323.7142857142857,146.57142857142858,,-,5320,412,0
2020-06-14,0.0675530846004421,62.85600016153088,10.493756259600389,4265.428571428572,288.14285714285717,0.09606205250596658,321.0,148.14285714285714,,-,1676,161,4
2020-06-13,0.06609176042578993,61.19233355497953,10.029674746035989,4240.857142857143,280.2857142857143,0.09474885844748858,321.14285714285717,148.85714285714286,,-,2628,249,7
2020-06-12,0.06384201805701147,59.60984099129207,9.384056116216666,4224.714285714285,269.7142857142857,0.07197452229299363,317.2857142857143,147.0,,-,4710,339,8
2020-06-11,0.06173177662889034,58.72289954973276,9.116163811933545,4172.428571428572,257.57142857142856,0.07262893567703303,317.85714285714283,144.28571428571428,,-,5177,376,4
2020-06-10,0.060228233305156385,57.854988803112136,8.95472219158006,4056.0,244.28571428571428,0.05593280914939242,314.2857142857143,139.57142857142858,,-,5596,313,13
2020-06-09,0.060879368658399095,57.116254062351395,8.957763006042645,3928.1428571428573,239.14285714285714,0.05102776776054814,312.0,136.85714285714286,,-,5546,283,8
2020-06-08,0.061659729640134074,55.78693225333881,8.6710762998907,3878.4285714285716,239.14285714285714,0.06541436464088397,310.7142857142857,134.57142857142858,,-,4525,296,0
2020-06-07,0.061655277145026575,54.81578255797507,8.658829259470082,3762.8571428571427,232.0,0.07047872340425532,305.7142857142857,130.57142857142858,,-,1504,106,1
2020-06-06,0.062149886449659346,54.30386950003693,8.534348073577132,3774.285714285714,234.57142857142858,0.06958250497017893,300.14285714285717,126.57142857142857,OC HCA chief resigns,-,2515,175,2
2020-06-05,0.06317940020044716,54.665744123842266,8.92352304092303,3706.0,234.14285714285714,0.05847145488029466,297.57142857142856,124.42857142857143,,-,4344,254,9
2020-06-04,0.06286767589614872,55.34488255102377,9.346067190599866,3642.5714285714284,229.0,0.06487849610270519,290.0,120.0,,-,4362,283,6
2020-06-03,0.06354015029311091,56.00208034716176,9.663548898858275,3631.0,230.71428571428572,0.05892363326951713,288.7142857142857,119.42857142857143,,-,4701,277,9
2020-06-02,0.06362833988606274,56.527253849033364,9.828664563165434,3560.8571428571427,226.57142857142858,0.0544440169295883,290.2857142857143,119.57142857142857,,-,5198,283,3
2020-06-01,0.06721717588769612,57.59098084049332,10.167370921576808,3460.0,232.57142857142858,0.06620021528525297,289.57142857142856,118.0,,-,3716,246,0
2020-05-31,0.06776406035665294,58.874681328386735,10.54863709326889,3124.285714285714,211.71428571428572,0.07828282828282829,290.7142857142857,117.71428571428571,,-,1584,124,1
2020-05-30,0.06667278483916854,60.316216002623044,11.263775092652244,3113.285714285714,207.57142857142858,0.08443789887088857,291.14285714285717,117.28571428571429,,-,2037,172,1
2020-05-29,0.06601044971076693,60.56400422760368,11.42952763844309,3062.285714285714,202.14285714285714,0.0558974358974359,289.2857142857143,117.28571428571429,,-,3900,218,3
